animeTitle	Seton Doubutsuki
animeType	TV
animeNumEpisode	45
releaseDate	1989-10-14 00:00:00
endDate	1990-12-22 00:00:00
animeNumMembers	552
animeScore	6.69
animeUsers	131
animeRank	5130
animePopularity	12695
animeDescription	"Documentary in which the achievement of Ernest ""Black Wolf"" Thompson is settled in different Episodes. Every single episode is a documentary in which one sort of Animal is described.
"
animeRelated	['Seton Doubutsuki: Kuma no Ko Jacky']
animeCharacters	['Seton, Ernest']
animeVoices	[]
animeStaff	[['Shirato, Takeshi', 'Director'], ['Nitta, Yoshikata', 'Episode Director, Storyboard'], ['Ishikawa, Yasuo', 'Episode Director, Storyboard'], ['Dreaming', 'Theme Song Performance']]
