animeTitle	Poccolies
animeType	TV
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15392
animeDescription	"The 2018 LINE sticker set Poccolies is inspiring a series of anime shorts. The story of the sticker set is that a positive and honest boy named Patsuhiko lives on Pokkori Island, along with the shrewd and mysterious Ham, and a reliable older brother figure named Kangaroo. The sticker set follows their daily lives. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Odori-san', 'Kangaroo', 'Panda-chan', 'Ham', 'Patsuhiko', 'Shiro', 'Oyakan-sama']
animeVoices	[]
animeStaff	[]
