animeTitle	Cafe Junkie
animeType	OVA
animeNumEpisode	2
releaseDate	2008-10-31 00:00:00
endDate	2009-05-29 00:00:00
animeNumMembers	
animeScore	6.76
animeUsers	6084
animeRank	
animePopularity	4421
animeDescription	"Even though Masaru is about to graduate from a technical college pretty soon he still has no job. One and only pleasure for him is to spend time at a cafe called ""Hidamari"". The cafe is owned by his childhood friend's Nanami and Kurumi's parents and they are working there too. One day, he learns another one of his childhood friends is coming back to his town. He says ""I wanna meet her soon."". Triggered by his word, Nanami and Kurumi start to approach him in a very different way than they ever did before...

(Source: ErogeShop edit)"
animeRelated	['Cafe Junkie', 'Milk Junkie: Shimai-hen', 'Bakunyuu Oyako', 'Mrs. Junkie']
animeCharacters	['Nitta, Nanami', 'Minami, Kurumi', 'Kaede', 'Masaru', 'Ijuuin, Takashi']
animeVoices	['Kawaragi, Shiho']
animeStaff	[['Pon', 'Script'], ['Tatsunami, Youtoku', 'Original Character Design'], ['Blue Gale', 'Original Creator']]
