animeTitle	Omoi no Kakera
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.52
animeUsers	2546
animeRank	
animePopularity	6658
animeDescription	"Hina Satou is a 13-year-old who loves figure skating and lives in a port town in Miyagi Prefecture. After losing her mother in the 2011 earthquake, she and her father are currently living in temporary housing. With sad memories of the earthquake and memories of a gentle mother, the cheerful Hina continues to move toward her dreams.

(Source: Fukushima Gainax)"
animeRelated	[]
animeCharacters	['Satou, Hina', 'Chisaki', 'Kyouko', 'Kimura, Father', 'Rena', 'Coach', 'Satou, Father', 'Kimura, Michiru', 'Satou, Mother']
animeVoices	['Yasuno, Kiyono', 'Itou, Haruka', 'Onodera, Runa', 'Yano, Masaaki', 'Fuku, Sanae', 'Nakane, Kumiko', 'Hoshino, Mitsuaki', 'Sasaki, Rico', 'Arakawa, Miho']
animeStaff	[['Saeki, Shouji', 'Director, Episode Director, Script, Storyboard'], ['Asao, Yoshinori', 'Director'], ['Koizumi, Kisuke', 'Sound Director'], ['Sasaki, Rico', 'Theme Song Performance']]
