animeTitle	Aikatsu Friends!
animeType	TV
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	7.14
animeUsers	2277
animeRank	
animePopularity	5369
animeDescription	"Aine Yuuki, who is a regular student at Star Harmony Academy's normal division, meets Mio Minato from the idol division, who invites her to join Aikatsu to fulfill Aine's goal to make friends. She also befriends Maika Chōno and Ema Hinata who are also idols. Aine and Mio form a pair to become best friends to become the bright ""Diamond Friends"". Karen Kamishiro and Mirai Asuku are categorized as ""Diamond Friends"" and are in the Diamond Class!

(Source: Wikipedia)"
animeRelated	['Aikatsu!', 'Aikatsu Stars!', 'Aikatsu Friends!: Kagayaki no Jewel', 'Aikatsu Planet!']
animeCharacters	['Minato, Mio', 'Yuuki, Aine', 'Asuka, Mirai', 'Kamishiro, Karen', 'Shirayuri, Sakuya', 'Chouno, Maika', 'Shirayuri, Kaguya', 'Hinata, Ema', 'Coco', 'Minato, Osamu']
animeVoices	['Kido, Ibuki', 'Matsunaga, Akane', 'Ohashi, Ayaka', 'Tadokoro, Azusa', 'Suyama, Emiri', 'Miyama, Karen', 'Kuwahara, Yuuki', 'Ninomiya, Yui', 'Morohoshi, Sumire', 'Sugita, Tomokazu']
animeStaff	[['Igarashi, Shishou', 'Director'], ['Kyougoku, Takahiko', 'Episode Director'], ['Matsuo, Kou', 'Episode Director, Storyboard'], ['Andou, Naoya', 'Episode Director, Storyboard']]
