animeTitle	Juusenki L-Gaim II: Farewell My Lovely + Pentagona Dolls
animeType	OVA
animeNumEpisode	1
releaseDate	1987-01-10 00:00:00
endDate	
animeNumMembers	
animeScore	5.74
animeUsers	202
animeRank	
animePopularity	11747
animeDescription	"A recap OVA that portrays the second half of the series Heavy Metal L-Gaim. After the credits, there is a short clip animated for the OVA entitled ""Pentagona Dolls"", which is intended to be comic relief. "
animeRelated	['Juusenki L-Gaim', 'Juusenki L-Gaim I: Pentagona Window + Lady Gavlet', 'Juusenki L-Gaim III: Full Metal Soldier']
animeCharacters	['Myroad, Daba', 'Amu, Fanneria', 'Kyao, Mirao', 'Ha Leccee, Gaw', 'Fau, Lilith', 'Flat, Full', 'Mauser, Heckler', 'Ron, Rockley', 'Kamandara, Amandara', 'Devilas, Ted']
animeVoices	['Hiramatsu, Hirokazu', 'Honda, Chieko', 'Ootsuka, Houchuu', 'Kawamura, Maria', 'Doi, Mika', 'Shioya, Kouzou', 'Jinnai, Tatsuyuki']
animeStaff	[['Tomino, Yoshiyuki', 'Director, Original Creator'], ['Yatate, Hajime', 'Original Creator'], ['Nagano, Mamoru', 'Mechanical Design, Character Design'], ['Kogawa, Tomonori', 'Chief Animation Director']]
