animeTitle	b'Aa! Megami-sama! Movie'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.56
animeUsers	21367
animeRank	
animePopularity	
animeDescription	"b""For centuries, a god named Celestin has been imprisoned on the moon for betraying the kingdom of Yggdrasil. Released by the fairy Morgan Le Fey, Celestin travels to Earth to reunite with his former pupil, the goddess Belldandy. Things go awry as Celestin erases Belldandy's memories of her boyfriend Keiichi and uses her as a catalyst to wreak havoc on Earth and Yggdrasil. \n"""
animeRelated	[b'Aa! Megami-sama!']
animeCharacters	[b'Belldandy', b'Urd', b'Morisato, Keiichi', b'Skuld', b'Celestine', b'Peorth', b'Morisato, Megumi', b'Aoyama, Otaki', b'Tamiya, Toraichi', b'Hasegawa, Sora']
animeVoices	[b'\nInoue, Kikuko\nJapanese\n', b'\nTouma, Yumi\nJapanese\n', b'\nKikuchi, Masami\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nYanaka, Hiroshi\nJapanese\n', b'\nSakuma, Rei\nJapanese\n', b'\nFuchizaki, Yuriko\nJapanese\n', b'\nFutamata, Issei\nJapanese\n', b'\nYanada, Kiyoyuki\nJapanese\n', b'\nOotani, Ikue\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMaseba, Yutaka\n\nProducer\n\n', b'\nGouda, Hiroaki\n\nDirector, Storyboard\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nYokote, Michiko\n\nScript\n\n']
