animeTitle	Great Rabbit
animeType	Movie
animeNumEpisode	1
releaseDate	2012-01-01 00:00:00
endDate	
animeNumMembers	900
animeScore	4.43
animeUsers	455
animeRank	11863
animePopularity	11418
animeDescription	"Once we called the noble, profound and mysterious existence The Great. We have moved with the time, our thought and consciousness has changed. And yet what makes us still keep calling it The Great?

(Source: kankaku.jp)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
