animeTitle	Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Picture Drama
animeType	Special
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	7.5
animeUsers	19894
animeRank	
animePopularity	2177
animeDescription	Picture drama episodes included on the DVD/Blu-ray Volumes of Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai.
animeRelated	['Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai']
animeCharacters	['Sakurajima, Mai', 'Azusagawa, Sakuta', 'Futaba, Rio', 'Azusagawa, Kaede', 'Koga, Tomoe', 'Toyohama, Nodoka']
animeVoices	['Seto, Asami', 'Ishikawa, Kaito', 'Tanezaki, Atsumi', 'Kubo, Yurika', 'Touyama, Nao', 'Uchida, Maaya']
animeStaff	[['Kamoshida, Hajime', 'Original Creator'], ['Mizoguchi, Keiji', 'Original Character Design']]
