animeTitle	b'Lostorage Conflated WIXOSS'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.08
animeUsers	8688
animeRank	
animePopularity	
animeDescription	"b'The peaceful days turn out to be short-lived as the shadow of another Selector Battle looms large. Kiyoi Mizushima is the first to notice that things are amiss, and she makes her move to put an end to the cycle of darkness.The Battle this time includes a new card, ""Key,"" and has been set up with rules different than before. With both the mastermind and their motive shrouded in mystery, the darkness grows ever deeper and more menacing. Suzuko Homura, Chinatsu Morishita, Hanna Mikage, Ruuko Kominato, Yuzuki Kurebayashi, Hitoe Uemura, and Akira Aoi, the Selectors gather once again.\n\n(Source: ANN)'"
animeRelated	[b'Lostorage Incited WIXOSS', b'Lostorage Conflated WIXOSS: Missing Link']
animeCharacters	[b'Kominato, Ruuko', b'Aoi, Akira', b'Kurebayashi, Yuzuki', b'Piruluk', b'Homura, Suzuko', b'Morikawa, Chinatsu', b'Uemura, Hitoe', b'Mikage, Hanna', b'Tama', b'Lil']
animeVoices	[b'\nKakuma, Ai\nJapanese\n', b'\nAkasaki, Chinatsu\nJapanese\n', b'\nSakura, Ayane\nJapanese\n', b'\nOonishi, Saori\nJapanese\n', b'\nHashimoto, Chinami\nJapanese\n', b'\nIguchi, Yuka\nJapanese\n', b'\nKayano, Ai\nJapanese\n', b'\nKubo, Yurika\nJapanese\n', b'\nKuno, Misaki\nJapanese\n', b'\nItou, Shizuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshida, Risako\n\nDirector\n\n', b'\nIguchi, Yuka\n\nTheme Song Performance\n\n', b'\nCyua\n\nTheme Song Performance\n\n', b'\nYaegashi, Youhei\n\nKey Animation, 2nd Key Animation, Animation Director\n\n']
