animeTitle	b'Kenyuu Densetsu Yaiba'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	7.13
animeUsers	3566
animeRank	
animePopularity	
animeDescription	"b""Kurogane Yaiba is a boy who doesn't want to become what any regular kid would: A samurai. That's why he undergoes a hard training with his father, knowing only the forest as his world. Then, one day, he is sent to Japan, where he has to deal with a whole new civilized reality, meeting the Mine family, the evil Onimaru and even the legendary Musashi, having lots of dangerous adventures, becoming stronger everyday.\n\n(Source: ANN, edited) """
animeRelated	[b'Yaiba', b'Detective Conan OVA 01: Conan vs. Kid vs. Yaiba']
animeCharacters	"[b'Kurogane, Yaiba', b'Mine, Sayaka', b'Onimaru, Takeshi', b'Yagyuu, Juubee Mitsuyoshi', b'Miyamoto, Musashi', b'Sasaki, Kojirou', b'Kumo-Otoko', b'Professor Kanabo', b""Sayaka's Grandmother"", b'Namako-Otoko']"
animeVoices	[b'\nTakayama, Minami\nJapanese\n', b'\nMitsuishi, Kotono\nJapanese\n', b'\nHorikawa, Ryo\nJapanese\n', b'\nHashi, Takaya\nJapanese\n', b'\nSatou, Masaharu\nJapanese\n', b'\nKosugi, Juurouta\nJapanese\n', b'\nSakaguchi, Tetsuo\nJapanese\n', b'\nEgawa, Hisao\nJapanese\n', b'\nSuzuki, Reiko\nJapanese\n', b'\nKashiwakura, Tsutomu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKobayashi, Noriko\n\nProducer\n\n', b'\nYuyama, Kunihiko\n\nDirector, Storyboard\n\n', b'\nYoshida, Shunji\n\nDirector\n\n', b'\nKato, Takao\n\nDirector, Episode Director, Storyboard\n\n']
