animeTitle	Rinne no Lagrange
animeType	TV
animeNumEpisode	12
releaseDate	2012-01-08 00:00:00
endDate	2012-03-25 00:00:00
animeNumMembers	
animeScore	6.91
animeUsers	21257
animeRank	
animePopularity	2170
animeDescription	"Madoka Kyouno is an energetic girl who is full of passion. As the proud, and only, member of the Kamogawa Girls' High School Jersey Club, she goes around helping people in need.

Madoka's life is turned upside down when she is suddenly asked by a mysterious girl named Lan to pilot a robot. Motivated by her desire to protect the people and city of Kamogawa, Madoka agrees to pilot the resurrected Vox robot to fight against extraterrestrials that have come to attack Earth.

(Source: VIZ Media)"
animeRelated	['Rinne no Lagrange', 'Rinne no Lagrange: Kamogawa Days', 'Rinne no Lagrange Specials', 'Rinne no Lagrange: Kamogawa Memoria']
animeCharacters	['Kyouno, Madoka', 'Fin E Ld Si, Laffinty', 'Muginami', 'Danon Ci, Array', 'De Metrio Lu, Yurikano', 'Rakus Lestrine Ha, Kirius', 'Tadokoro, Shouzou', 'Fin E Ld Si, Dizelmine', 'Lizamarie de Rochefort, Astelia', 'Nakaizumi, Youko']
animeVoices	['Ishihara, Kaori', 'Seto, Asami', 'Kayano, Ai', 'Matsuoka, Yoshitsugu', 'Ise, Mariya', 'Nojima, Kenji', 'Yasumura, Makoto', 'Ono, Daisuke', 'Kanemoto, Hisako', 'Noto, Mamiko']
animeStaff	[['Hirasawa, Nao', 'Producer'], ['Satou, Tatsuo', 'Director'], ['Suzuki, Toshimasa', 'Director, Episode Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director']]
