animeTitle	Eien no Hou
animeType	Movie
animeNumEpisode	1
releaseDate	2006-09-30 00:00:00
endDate	
animeNumMembers	
animeScore	5.31
animeUsers	391
animeRank	
animePopularity	10669
animeDescription	"Ryuta and his friends from the science club visit a museum exhibit on Thomas Edison and it's there they learn about one of his proposed inventions called the ""spirit phone"" which would enable communication with the deceased. Later that day, they bump into a shaman who claims she has a message from Edison. In an instant Ryuta is given the necessary knowledge he needs to construct the device and decides to go for it, so beginning a spiritual adventure.

(Source: ANN)"
animeRelated	['Ougon no Hou: El Cantare no Rekishikan', 'Taiyou no Hou: El Cantare e no Michi']
animeCharacters	['Natsuse, Yuko', 'Hoshikawa, Ryuta', 'El Cantare']
animeVoices	['Ohara, Sayaka', 'Tanaka, Hirofumi', 'Koyasu, Takehito']
animeStaff	[['Imakake, Isamu', 'Director'], ['Ookawa, Ryuuhou', 'Original Creator, Executive Producer'], ['Oota, Masaru', 'Art Director'], ['Márcio, Renato', 'ADR Director']]
