animeTitle	Pure-tou no Nakama-tachi
animeType	TV
animeNumEpisode	26
releaseDate	1983-07-01 00:00:00
endDate	1983-12-23 00:00:00
animeNumMembers	
animeScore	6.23
animeUsers	214
animeRank	
animePopularity	11972
animeDescription	Kona is a boy who has a friend: a pink dragon named Serendipity with a kind nature. They want to stop the evil captain who tries steal gold from their peaceful island. 
animeRelated	[]
animeCharacters	['Serendipity', 'Laura']
animeVoices	['Okamoto, Mari', 'Nashiwa, Yuri']
animeStaff	[['Terada, Kenji', 'Script'], ['Matsuyama, Yuushi', 'Theme Song Arrangement'], ['Gotou, Takayuki', 'Key Animation'], ['Yonekawa, Koushin', 'Key Animation']]
