animeTitle	Doubutsu Mura Monogatari
animeType	TV
animeNumEpisode	100
releaseDate	1970-03-30 00:00:00
endDate	1970-07-21 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14353
animeDescription	"A short kids series featuring cute animal stories.

(Source: AniDB)"
animeRelated	['Goman-hiki']
animeCharacters	['Narrator']
animeVoices	['Shiraishi, Fuyumi']
animeStaff	[['Yokoyama, Ryuuichi', 'Episode Director, Script, Animation Director, Original Creator, Character Design']]
