animeTitle	Senki Zesshou Symphogear G: Senki Zesshou Shinai Symphogear
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.85
animeUsers	3616
animeRank	
animePopularity	5450
animeDescription	Original short episodes featuring characters in super-deformed style.
animeRelated	['Senki Zesshou Symphogear G']
animeCharacters	['Yukine, Chris', 'Tachibana, Hibiki', 'Kazanari, Tsubasa', 'Akatsuki, Kirika', 'Cadenzavna Eve, Maria', 'Tsukuyomi, Shirabe', 'Kohinata, Miku', 'Kazanari, Genjuurou', 'Ogawa, Shinji']
animeVoices	['Takagaki, Ayahi', 'Yuuki, Aoi', 'Mizuki, Nana', 'Kayano, Ai', 'Hikasa, Youko', 'Nanjou, Yoshino', 'Iguchi, Yuka', 'Ishikawa, Hideo', 'Hoshi, Souichirou']
animeStaff	[['Kaneko, Akifumi', 'Script'], ['Yoshii, Dan', 'Storyboard'], ['Iguchi, Yuka', 'Inserted Song Performance'], ['Fujimoto, Satoru', 'Chief Animation Director, Character Design']]
