animeTitle	b'Kaitou Pride'
animeType	b'TV'
animeNumEpisode	105
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Each episode features a part of the story in which a detective tries to hunt down and capture a notorious and narcissistic thief. This series aired daily, Monday to Friday, in 8 minutes segments to complete a single story by the end of the week.\n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Pride']
animeVoices	[b'\nKomatsu, Housei\nJapanese\n']
animeStaff	[]
