animeTitle	b'Dengeki Oshioki Musume Gootaman: Gootaman Tanjou-hen'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.23
animeUsers	1955
animeRank	
animePopularity	
animeDescription	"b""Mari Amachi is a very devout Christian who transfers to Perfect Religion Academy. A school devoted to all religions of the world in effort to make it's students the next world leaders in religion. Her friend Saori is kidnapped by the Black Buddha cult; a group who wishes to take away religious freedom though force and brainwashing. Mari prays to God for help but Buddha answers the call, instead! Mari aspires only to help her friend and she is transformed into Butt Attack Punisher Girl Gotaman. Between fighting bad guys, making a deal with Buddha, and wearing scandalous costumes, is it more than Mari can take? """
animeRelated	[b'Dengeki Oshioki Musume Gootaman', b'Dengeki Oshioki Musume Gootaman R: Ai to Kanashimi no Final Battle']
animeCharacters	[b'Minami, Saori', b'Amachi, Mari', b'Dark Vader', b'Misora, Hibari', b'Mutsugoro', b'Buddha', b'Tobishima, Ryo', b'Inemuri, Kyoshiro', b'Shimizu', b'Vice Principal']
animeVoices	[b'\nItou, Miki\nJapanese\n', b'\nShiratori, Yuri\nJapanese\n', b'\nOotomo, Ryuuzaburou\nJapanese\n', b'\nYajima, Akiko\nJapanese\n', b'\nNishimura, Tomohiro\nJapanese\n', b'\nOgata, Kenichi\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nOno, Kenichi\nJapanese\n', b'\nKashiwakura, Tsutomu\nJapanese\n', b'\nArimoto, Kinryuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSuzuki, Iku\n\nDirector\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nSuzuki, Hirofumi\n\nKey Animation\n\n', b'\nOoshiro, Tsutomu\n\nKey Animation\n\n']
