animeTitle	Overlord: Ple Ple Pleiades - Nazarick Saidai no Kiki
animeType	OVA
animeNumEpisode	1
releaseDate	2016-09-30 00:00:00
endDate	
animeNumMembers	
animeScore	6.92
animeUsers	22528
animeRank	
animePopularity	2469
animeDescription	"Bundled with novel series' 11th volume.

The new anime will feature the appearance of the Pleiades combat maids, as well as the rest of the Floor Guardians.

(Source: ANN)"
animeRelated	['Overlord', 'Overlord: Ple Ple Pleiades']
animeCharacters	"['Momonga', 'Albedo', 'Bloodfallen, Shalltear', 'Gamma, Narberal', 'Sebas Tian', 'Demiurge', ""Pandora's Actor"", 'Zeta, Entoma Vasilissa', 'Shizu Delta', 'Beta, Lupusregina']"
animeVoices	['Hino, Satoshi', 'Hara, Yumi', 'Uesaka, Sumire', 'Numakura, Manami', 'Chiba, Shigeru', 'Katou, Masayuki', 'Miyano, Mamoru', 'Shindou, Kei', 'Seto, Asami', 'Komatsu, Mikako']
animeStaff	[['Ashina, Minoru', 'Director, Episode Director, Script, Storyboard'], ['Gou, Fumiyuki', 'Sound Director']]
