animeTitle	Koukyousei Million Arthur
animeType	ONA
animeNumEpisode	1
releaseDate	2018-09-25 00:00:00
endDate	
animeNumMembers	
animeScore	5.47
animeUsers	219
animeRank	
animePopularity	10769
animeDescription	"The animated opening for Square Enix's Koukyousei Million Arthur RPG mobile game launched for iOS and Android on October 4, 2018. It is said to be a ""brand new"" Million Arthur story where legends and myths intersect. The plan is for the game to be an action hunting RPG, unlike the previous ones which were mobile RPG card games."
animeRelated	['Jakusansei Million Arthur', 'Kakusansei Million Arthur', 'Kairisei Million Arthur', 'Hangyakusei Million Arthur', 'Hangyakusei Million Arthur PV']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
