animeTitle	b'Blood: The Last Vampire'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	54136
animeRank	
animePopularity	
animeDescription	b'Teropterids are evil beasts which pose as humans and live only to drink human blood. Fortunately for the human world there are groups dedicated to destroying them. A brooding and mysterious girl named Saya is the best teropterid slayer there is, and now, in 1960s Japan, she is sent to a U. S. army base which may be infested...\n\n(Source: ANN)\n'
animeRelated	[b'Blood: The Last Vampire (2002)', b'Blood+', b'Blood-C', b'Blood-C: The Last Dark']
animeCharacters	[b'Saya', b'David', b'Kouchou']
animeVoices	[b'\nKudou, Yuuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNagasaki, Yukio\n\nProducer\n\n', b'\nMorishita, Katsuji\n\nAssistant Producer\n\n', b'\nKitakubo, Hiroyuki\n\nDirector, Storyboard\n\n', b'\nTakagi, Shinji\n\nEpisode Director\n\n']
