animeTitle	Lady Lady!!
animeType	TV
animeNumEpisode	21
releaseDate	
endDate	
animeNumMembers	
animeScore	7.49
animeUsers	2077
animeRank	
animePopularity	6729
animeDescription	"Lynn lost her mother at the age of five and lives in with her father in England. Lynn's father is not able to be by her side all the time because of his busy schedule and Lynn is often left on her own. Despite having to endure the harsh loneliness, Lynn strives to protect her promise with her mother to become a strong and elegant lady.

(Source: ANN)"
animeRelated	['Lady!!', 'Hello! Lady Lynn', 'Lady Lady!! (1988)']
animeCharacters	['Brighton, Edward', 'Russell, Lynn', 'Drake Brighton, Arthur', 'Frances Russell, Sarah', 'Waverley, Mary', 'Waverley, Thomas', 'Midorikawa, Misuzu', 'Brenda', 'Waverley, Magdalene', 'Russell, George']
animeVoices	['Kikuchi, Hidehiro', 'Miyuki, Sanae', 'Horikawa, Ryo', 'Shou, Mayumi', 'Yokozawa, Keiko', 'Suzuki, Reiko', 'Masuyama, Eiko', 'Tanaka, Hideyuki']
animeStaff	"[['Seki, Hiromi', 'Producer, Planning'], ['Yamayoshi, Yasuo', 'Episode Director'], ['Konparu, Tomoko', 'Script'], [""D'Avena, Cristina"", 'Theme Song Performance']]"
