animeTitle	Yodomi no Sakagi
animeType	Movie
animeNumEpisode	1
releaseDate	2014-01-01 00:00:00
endDate	
animeNumMembers	753
animeScore	5.84
animeUsers	385
animeRank	9251
animePopularity	11875
animeDescription	"The two of them, all alone at home. All alone with her father's corpse. Memories, ideals, and reality all sink beneath the muck. Everyone is alone. Everyone is in solitude.

(Source: Geidai Animation)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
