animeTitle	Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi
animeType	Movie
animeNumEpisode	1
releaseDate	1995-03-04 00:00:00
endDate	
animeNumMembers	13987
animeScore	7.57
animeUsers	6945
animeRank	1396
animePopularity	4640
animeDescription	"After losing the titanic match against Kainan High, Team Shohoku and a newly shaven Hanamichi Sakuragi are challenged to an exhibition match by virtual basketball unknowns Ryoukufu High. Coach Anzai sees this as an opportunity for Shohoku to regain their confidence, but Ryoukufu are revealed to have a newly assembled championship calibre lineup and may give Sakuragi & Co their toughest test yet.

(Source: ANN)"
animeRelated	['Slam Dunk']
animeCharacters	['Sakuragi, Hanamichi', 'Mitsui, Hisashi', 'Rukawa, Kaede', 'Miyagi, Ryouta', 'Akagi, Takenori', 'Mito, Youhei', 'Akagi, Haruko', 'Anzai, Mitsuyoshi', 'Kogure, Kiminobu', 'Ayako']
animeVoices	['Kusao, Takeshi', 'Okiayu, Ryoutarou', 'Midorikawa, Hikaru', 'Shioya, Yoku', 'Yanada, Kiyoyuki', 'Morikawa, Toshiyuki', 'Hiramatsu, Akiko', 'Nishimura, Tomomichi', 'Tanaka, Hideyuki', 'Hara, Eriko']
animeStaff	[['Kakudou, Hiroyuki', 'Director'], ['MANISH', 'Theme Song Lyrics, Theme Song Performance'], ['Inoue, Takehiko', 'Original Creator'], ['Hosoda, Mamoru', 'Key Animation']]
