animeTitle	Hazedon
animeType	TV
animeNumEpisode	26
releaseDate	1972-10-05 00:00:00
endDate	1973-03-29 00:00:00
animeNumMembers	244
animeScore	
animeUsers	
animeRank	15974
animePopularity	15385
animeDescription	"The series focused on a goby fish: Hazedon, who was the offspring of a mermaid and a blowfish. His goal was to travel the world on an adventure with his best friend, Puyang. 

(Source: GoBoiano)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
