animeTitle	Kunoichi Sakuya
animeType	OVA
animeNumEpisode	2
releaseDate	2011-02-18 00:00:00
endDate	2011-08-19 00:00:00
animeNumMembers	
animeScore	5.86
animeUsers	772
animeRank	
animePopularity	8874
animeDescription	"Based on the game by Lune.

(Source: AniDB)"
animeRelated	"['Kunoichi Sakuya: ""Shinobishi Omoi wa Chijoku ni Nurete......""']"
animeCharacters	['Akehi', 'Hotaru', 'Sakuya']
animeVoices	['Arai, Shizuka', 'Nagami, Haruka', 'Nishizawa, Hiroka']
animeStaff	[['Tominaga, Tsuneo', 'Storyboard'], ['Lune', 'Original Creator'], ['Kawai, Masaki', 'Original Character Design']]
