animeTitle	Otona no Bouguya-san
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.62
animeUsers	10974
animeRank	
animePopularity	3103
animeDescription	Kautz was looking for a job and suddenly he gets hired by an armor shop. But it's not your run of the mill armor shop, it's an adult armor shop. An ecchi comedy showing the shopkeeper side of selling sexy battle armor. 
animeRelated	['Otona no Bouguya-san', 'Otona no Bouguya-san (Rimen)']
animeCharacters	['Lilietta', 'Kautz', 'Frealica', 'Narden', 'Maou', 'Mokuku']
animeVoices	['Touyama, Nao', 'Ishii, Mark', 'Komatsu, Mikako', 'Sakurai, Takahiro', 'Enako', 'Oomori, Nichika']
animeStaff	[['Yamamoto, Junichi', 'Director, Series Composition'], ['Nagasaki, Yukio', 'Sound Director'], ['Satou, Masato', 'Episode Director'], ['Inai, Keiji', 'Music']]
