animeTitle	b'Afro Samurai Movie'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.54
animeUsers	29672
animeRank	
animePopularity	
animeDescription	b'A movie adaptation of the TV series.'
animeRelated	[b'Afro Samurai', b'Afro Samurai: Resurrection']
animeCharacters	[b'Samurai, Afro', b'Ninja Ninja', b'Jinno', b'Justice', b'Otsuru', b'Sasuke', b'Brother One', b'Rukotaro', b'Sword Master', b'Yashichi']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nOkazaki, Takashi\n\nOriginal Creator\n\n']
