animeTitle	b'Tsugumomo OVA'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.91
animeUsers	7768
animeRank	
animePopularity	
animeDescription	b'Includes six segments: Boku no Tsukumogami-sama, Sentou nite, Boku no Goshujin-sama, Kokuyou no Ongaeshi, Saigo no Toride, and Erohon Kaigi. Bundled with the special edition of the 24th manga volume.'
animeRelated	[b'Tsugumomo']
animeCharacters	[b'Kiriha', b'Kagami, Kazuya ', b'Kukuri', b'Chikaishi, Chisato']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nHamada, Yoshikadu\n\nOriginal Creator\n\n']
