animeTitle	Soul Buster
animeType	TV
animeNumEpisode	12
releaseDate	2016-10-04 00:00:00
endDate	2016-12-11 00:00:00
animeNumMembers	
animeScore	5.79
animeUsers	5930
animeRank	
animePopularity	3981
animeDescription	"Keishuu, China.

The history books say that in the era of the Three Kingdoms, this land was a place of never-ending war. A young high school boy, Sonshin, who hates his city's history, is troubled by a certain dream. When he wakes up from the dream, strange things begin to happen one after another, and without understanding what's going on, he suddenly finds himself facing Gien, one of the generals from the Romance of the Three Kingdoms, who's trying to kill him! Just before Gien's blade strikes home, a mysterious beautiful woman appears in front of Sonshin. What trials await Sonshin, as he witnesses this terrible battle between two generals of the Three Kingdoms?

(Source: Crunchyroll)"
animeRelated	[]
animeCharacters	['Shuu, Yu', 'Son, Shin', 'Ryou, Un', 'Barin, Yi', 'Sou, Sei', 'Hou, Ga', 'Shuu, Sou', 'Chou', 'Tei, Fu', 'Bo, Anzi']
animeVoices	['Tanabe, Rui', 'Mizushima, Takahiro', 'Ryu, Seira', 'Kakihara, Tetsuya', 'Horie, Shun', 'Koshimizu, Ami', 'Toyonaga, Toshiyuki', 'Shingaki, Tarusuke', 'Sugou, Takayuki', 'Namikawa, Daisuke']
animeStaff	[['Watanabe, Odahiro', 'Director'], ['Shimizu, Katsunori', 'Sound Director'], ['Ayane', 'Theme Song Performance'], ['Zwei', 'Theme Song Performance']]
