animeTitle	Popolocrois Monogatari
animeType	TV
animeNumEpisode	25
releaseDate	1998-10-04 00:00:00
endDate	1999-03-28 00:00:00
animeNumMembers	
animeScore	6.99
animeUsers	728
animeRank	
animePopularity	8678
animeDescription	Prince Pietro is the half-human, half-dragon prince of the kingdom of Popolocrois.  After the evil GamiGami tries (unsuccessfuly, as ever) to take over the Kingdom, a mysterious girl named Hyuu appears in the forest near Popolocrois Castle, which is the beginning of an adventure for Pietro, his witch friend Narcia, and all their friends.  Set following the events of the first Popolocrois game.
animeRelated	['Popolocrois Monogatari', 'PopoloCrois', 'Popolocrois Monogatari Pilot']
animeCharacters	['Hyuu', 'Pakapuka, Pietro', 'Narcia', 'GamiGami Maou', 'Stone', 'Pakapuka, Sania', 'Shirokishi']
animeVoices	['Miyajima, Eri', 'Orikasa, Ai', 'Shiratori, Yuri', 'Furuta, Arata', 'Uchida, Takeshi', 'Ebara, Masashi']
animeStaff	[['Horikawa, Kenji', 'Producer, Series Composition'], ['Kobayashi, Noriko', 'Producer'], ['Mashimo, Kouichi', 'Director, Script, Series Composition'], ['Matsukawa, Riku', 'Sound Director']]
