animeTitle	Comic Party Revolution OVA
animeType	OVA
animeNumEpisode	4
releaseDate	2003-12-22 00:00:00
endDate	2004-11-26 00:00:00
animeNumMembers	
animeScore	6.47
animeUsers	972
animeRank	
animePopularity	8342
animeDescription	"A college student, Sendō Kazuki, happened to set foot in the doujinshi community. There, people are producing and selling doujinshi, which is the comic book drawn by fans rather than professional writers. At first he was reluctant, but as he met the girls earnest about producing doujinshi, he was gradually involved in creating it himself.

This series is based on a Dreamcast/PC game, ""Comic Party"", and its setting is different from the TV series. The main characters, Kazuki, Taishi, and Mizuki are college students whereas they were high school students in the TV series. The story starts after Kazuki has become acquainted with other characters.

(Original description from AnimeNfo) "
animeRelated	['Comic Party', 'Comic Party Revolution', 'Comic Party Specials']
animeCharacters	['Sendou, Kazuki', 'Kuhonbutsu, Taishi', 'Haga, Reiko', 'Hasebe, Aya', 'Tsukamoto, Chisa', 'Tachikawa, Ikumi', 'Ooba, Eimi', 'Mikage, Subaru', 'Makimura, Minami']
animeVoices	['Muta, Akiko', 'Sonozaki, Mie', 'Baba, Sumie', 'Ishikawa, Shizuka', 'Kurata, Masayo', 'Yamada, Miho']
animeStaff	[['Chung, Jin Ho', 'Producer'], ['Grant, Tiffany', 'Script'], ['Aquaplus', 'Original Creator'], ['Campbell, Charles', 'ADR Director']]
