animeTitle	Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA
animeType	OVA
animeNumEpisode	1
releaseDate	2020-01-29 00:00:00
endDate	
animeNumMembers	72476
animeScore	6.39
animeUsers	36030
animeRank	6743
animePopularity	2006
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II']
animeCharacters	['Cranel, Bell', 'Hestia', 'Wallenstein, Ais', 'Lion, Ryuu', 'Arde, Liliruca', 'Sanjouno, Haruhime', 'Yamato, Mikoto', 'Crozzo, Welf', 'Loga, Bete', 'Deimne, Finne']
animeVoices	['Matsuoka, Yoshitsugu', 'Minase, Inori', 'Oonishi, Saori', 'Hayami, Saori', 'Uchida, Maaya', 'Chisuga, Haruka', 'Akasaki, Chinatsu', 'Hosoya, Yoshimasa', 'Okamoto, Nobuhiko', 'Tamura, Mutsumi']
animeStaff	[['Yasuda, Suzuhito', 'Original Character Design'], ['Omori, Fujino', 'Original Creator']]
