animeTitle	Steins;Gate: Soumei Eichi no Cognitive Computing
animeType	ONA
animeNumEpisode	4
releaseDate	2014-10-15 00:00:00
endDate	2014-11-12 00:00:00
animeNumMembers	
animeScore	7.41
animeUsers	50156
animeRank	
animePopularity	1714
animeDescription	" Anime shorts created in collaboration with IBM.

Episode 1: Cooking-hen
Episode 2: Navigation-hen
Episode 3: Fashion-hen
Episode 4: Kaigi-hen"
animeRelated	['Steins;Gate']
animeCharacters	['Okabe, Rintarou', 'Makise, Kurisu', 'Shiina, Mayuri', 'Hashida, Itaru', 'Cognitive computing system, Oopa', 'Amane, Suzuha', 'Urushibara, Ruka', 'Akiha, Rumiho', 'Tennouji, Yuugo', 'Tennouji, Nae']
animeVoices	['Miyano, Mamoru', 'Imai, Asami', 'Hanazawa, Kana', 'Seki, Tomokazu', 'Yamamoto, Ayano']
animeStaff	[['Murakawa, Kenichirou', 'Director'], ['Hayashi, Naotaka', 'Script'], ['Shikura, Chiyomaru', 'Original Creator'], ['huke', 'Original Character Design']]
