animeTitle	Mori no Tonto-tachi
animeType	TV
animeNumEpisode	23
releaseDate	1984-10-05 00:00:00
endDate	1985-03-29 00:00:00
animeNumMembers	
animeScore	6.15
animeUsers	197
animeRank	
animePopularity	12424
animeDescription	"Deep in the forests of Finland live the little people, or Tontus, the elves who work all year round to keep Joulupukki (Santa Claus) supplied with toys for Christmas Eve.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Joulupukki', 'Elisa', 'Lasse', 'Carpenter', 'Erkki', 'Mauri', 'Pertti']
animeVoices	['Tomita, Kousei', 'Tsuru, Hiromi', 'Horikawa, Ryo', 'Tatsuta, Naoki', 'Suzuoki, Hirotaka', 'Tanaka, Mayumi', 'Shimaka, Yuu']
animeStaff	"[['Higuchi, Masakazu', 'Director, Storyboard'], ['Horie, Mitsuko', 'Theme Song Performance'], [""D'Avena, Cristina"", 'Theme Song Performance'], ['Watanabe, Takeo', 'Music']]"
