animeTitle	b'Denshin Denrei Denwa'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.56
animeUsers	148
animeRank	
animePopularity	
animeDescription	b'When copper wire is wrapped around an iron rod and connected to a battery, it becomes an electromagnet. A science teaching material movie that explains the principle and structure of electric bells and telephones by applying the principle of an electromagnet through a fusion of live action and animation.'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
