animeTitle	Denshin Mamotte Shugogetten
animeType	OVA
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	1126
animeRank	
animePopularity	8140
animeDescription	"In the peaceful life of modern Japan, Shaorin and Tasuke explore their relationship amid familiar interventions and new challenges. Shaorin begins to discover why she chose to stay with Tasuke, and Tasuke begins to learn the depth of his love toward Shaorin. 

(Source: ANN)"
animeRelated	['Mamotte Shugogetten!']
animeCharacters	['Shugogetten, Shaorin', 'Shichiri, Tasuke', 'Keikounitten, Ruuan', 'Bannanchiten, Kiryuu', 'Rishu', 'Miyauchi, Izumo']
animeVoices	['Kouda, Mariko', 'Sakaguchi, Daisuke', 'Takada, Yumi', 'Kuwashima, Houko', 'Kawasumi, Ayako', 'Morikawa, Toshiyuki']
animeStaff	[['Kaizawa, Yukio', 'Director'], ['Kawasumi, Ayako', 'Theme Song Performance'], ['Kouda, Mariko', 'Theme Song Performance'], ['Miyake, Masakazu', 'Background Art']]
