animeTitle	Ginga Tetsudou 999: Niji no Michishirube
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12253
animeDescription	Short movie screened at the 2001 Kitakyushu Expo-Festival held in Kitakyushu City, Fukuoka Prefecture, Japan.
animeRelated	['Ginga Tetsudou 999']
animeCharacters	['Maetel', 'Hoshino, Tetsurou', 'The Conductor', 'Mirai', 'Narrator']
animeVoices	['Ikeda, Masako', 'Nozawa, Masako', 'Kimotsuki, Kaneta', 'Horie, Mitsuko', 'Takagi, Hitoshi']
animeStaff	[['Ueda, Yoshihiro', 'Director'], ['Horie, Mitsuko', 'Theme Song Performance'], ['Matsumoto, Leiji', 'Original Creator'], ['Aoki, Nozomi', 'Music']]
