animeTitle	91 Days: Mijikai Rousoku
animeType	Special
animeNumEpisode	1
releaseDate	2016-08-26 00:00:00
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	14086
animeRank	
animePopularity	3427
animeDescription	Recap of the first seven episodes of 91 Days series.
animeRelated	['91 Days']
animeCharacters	['Lagusa, Angelo', 'Vanetti, Nero', 'Corteo', 'Fango', 'Clemente, Vanno', 'Vanetti, Frate', 'Serpente', 'Barbero', 'Vanetti, Fio', 'Volpe']
animeVoices	['Kondou, Takashi', 'Eguchi, Takuya', 'Saitou, Souma', 'Tsuda, Kenjirou', 'Ono, Daisuke', 'Nishiyama, Koutarou', 'Kase, Yasuyuki', 'Sakurai, Takahiro', 'Toujou, Hisako']
animeStaff	[['Kaburagi, Hiro', 'Director'], ['TK from Ling Tosite Sigure', 'Theme Song Performance'], ['ELISA', 'Theme Song Performance'], ['Kishimoto, Taku', 'Series Composition']]
