animeTitle	Virtua Fighter
animeType	TV
animeNumEpisode	35
releaseDate	1995-10-09 00:00:00
endDate	1996-06-27 00:00:00
animeNumMembers	
animeScore	7.11
animeUsers	3740
animeRank	
animePopularity	5549
animeDescription	"Akira Yuki has spent years honing his Bajiquan skills under the guidance of his grandfather. He yearns to see the constellation of the eight stars of heaven, which are only revealed to those with real strength. This burning desire urges him to embark on travels, so as to learn more about how to see the stars.

Meanwhile, a nefarious robotics scientist, Eva Durix, desires to create the perfect soldier. Eva's group, Judgment 6, tracks down and kidnaps Sarah Bryant, a college student and close acquaintance of Akira who is investigating a mysterious accident concerning her brother. Akira must now fight his way to Sarah to save her from the clutches of Judgement 6, a perilous path sure to be paved with countless challenges."
animeRelated	['Virtua Fighter: Costomize Clip']
animeCharacters	['Yuki, Akira', 'Chan, Pai', 'Bryant, Jacky', 'Bryant, Sarah', 'Weimin, Yan', 'Hawkfield, Wolf', 'Durix, Eva', 'McWild, Jeffry', 'Chan, Lau', 'Di, Shun']
animeVoices	['Miki, Shinichiro', 'Matsui, Naoko', 'Matsumoto, Yasunori', 'Okamoto, Maya', 'Ishizuka, Unshou', 'Tanaka, Atsuko', 'Ootomo, Ryuuzaburou', 'Chiba, Shigeru', 'Kitamura, Kouichi']
animeStaff	[['Yoshida, Reiko', 'Script'], ['Kamio, Ryuu', 'Script, Series Composition'], ['Mitsuyoshi, Takenobu', 'Theme Song Performance'], ['Matsumoto, Toshiaki', 'Theme Song Composition']]
