animeTitle	Love Selection The Animation
animeType	OVA
animeNumEpisode	2
releaseDate	2008-08-29 00:00:00
endDate	2008-11-28 00:00:00
animeNumMembers	6900
animeScore	6.82
animeUsers	2805
animeRank	
animePopularity	6157
animeDescription	"The first episode of Love Selection is about a guy named Daiki-kun day-dreaming about having sex with the girl that he is in loved with named Ami-chan. Basically, one of Ami's friends decides that she wants to have sex before her school-life ends, and thinks it would be easiest with someone from the class, so she proposes it to the class and drags Ami, and their other friend Yui, into it too. This episode contains no rape scenes, everything is ""mutual"" or close to it. No old fat men, etc...

This second episode is about a guy who frequents a restaurant called ""Royal Bust"" because he's infatuated with one of the waitresses named Saiko-chan. Little did he know that the restaurant had a ""Special Sevice Day"" for customers who acquire enough points. Eventually he has his opportunity with Saiko-chan, but is cut short after getting a blowjob and doesn't have sex with her. Through distress from seeing her with a fat old man, he ends up having sex with another waitress named Yayoi-chan, who has secretly been in love with him all this time. This episode contains fat men, ""royal busts,"" and netorare."
animeRelated	['Love Selection']
animeCharacters	['Kurata, Nao', 'Uehara, Ami', 'Tendou, Saiko', 'Yayoi', 'Daiki, Akiba', 'Nemoto, Yui']
animeVoices	['Ichimura, Oma', 'Okajima, Tae', 'Aoba, Ringo', 'Ishimatsu, Chiemi']
animeStaff	[['Kisaragi, Gunma', 'Original Creator']]
