animeTitle	Kangoku: Injoku no Jikkentou
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.46
animeUsers	976
animeRank	
animePopularity	8303
animeDescription	Miyagawa Yuki is a secret agent of governmental organization. She and her colleagues, Reiko Carrere Yukiko and Morishita Kana were ordered to spy on a pharmaceutical company that is under susption for producing illegal drugs. However, their activities are known to the company, and they are caught by research workers. Then they are molested on the pretext of experiments. 
animeRelated	[]
animeCharacters	['Miyagawa, Yuki', 'Shimoda, Kazunori', 'Reiko', 'Morishita, Kana']
animeVoices	['Hirakawa, Daisuke', 'Nakata, Junko']
animeStaff	[]
