animeTitle	Benkei tai Ushiwaka
animeType	Movie
animeNumEpisode	1
releaseDate	1939-07-01 00:00:00
endDate	
animeNumMembers	1133
animeScore	5.27
animeUsers	565
animeRank	10966
animePopularity	10835
animeDescription	"Benkei tai Ushiwaka is a short animated Japanese film made in 1939 by Kenzō Masaoka. It is based on the legendary encounter between Saitō Musashibō Benkei, who was collecting swords for the Buddha, and Minamoto no Yoshitsune, who was called Ushiwaka in his youth.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
