animeTitle	Tenchi Souzou Design-bu Special
animeType	Special
animeNumEpisode	1
releaseDate	2021-04-02 00:00:00
endDate	
animeNumMembers	10081
animeScore	7.22
animeUsers	5799
animeRank	2803
animePopularity	5299
animeDescription	"Hatching an original idea is not always easy for the Heaven's Design Team. With a meticulous client such as God, even the most confident of its members may doubt their ability to create a perfect creature that satisfies his demands. The whole team is then put to the test when God requests a single animal possessing five particular qualities. This strange animal may be one of the design team's biggest jobs yet!

[Written by MAL Rewrite]"
animeRelated	['Tenchi Souzou Design-bu']
animeCharacters	['Shimoda', 'Unabara', 'Kanamori', 'Meido', 'Higuchi', 'Ueda', 'Kimura', 'Mizushima', 'Tsuchiya', 'God']
animeVoices	[]
animeStaff	[]
