animeTitle	Happiness Charge PreCure! Movie: Ningyou no Kuni no Ballerina
animeType	Movie
animeNumEpisode	1
releaseDate	2014-10-11 00:00:00
endDate	
animeNumMembers	3107
animeScore	7.06
animeUsers	1244
animeRank	3512
animePopularity	8296
animeDescription	"The film's story is set in the Doll Kingdom where dolls reside. Happiness Charge PreCure are asked to help by a women named Tsumugi when the sudden appearance of Saiarks begin wrecking havoc upon the Kingdom. However all is not what it seems with the mysterious man Black Fang dwelling in the shadows.

(Source: ANN)"
animeRelated	['Happiness Charge Precure!']
animeCharacters	['Shirayuki, Hime', 'Hikawa, Iona ', 'Oomori, Yuuko', 'Aino, Megumi', 'Ribbon', 'Orihara, Tsumugi', 'Glasan', 'Sagara, Seiji', 'Blue', 'Black Fang ']
animeVoices	['Han, Megumi', 'Tomatsu, Haruka', 'Kitagawa, Rina', 'Nakajima, Megumi', 'Matsui, Naoko', 'Horie, Yui', 'Kobori, Miyuki', 'Kanemoto, Ryousuke', 'Yamamoto, Shouma', 'Morikawa, Toshiyuki']
animeStaff	[['Tomatsu, Haruka', 'Inserted Song Performance'], ['Han, Megumi', 'Inserted Song Performance'], ['Nakajima, Megumi', 'Inserted Song Performance'], ['Toudou, Izumi', 'Original Creator']]
