animeTitle	Giant Robo Gaiden Ginrei
animeType	OVA
animeNumEpisode	3
releaseDate	1994-02-20 00:00:00
endDate	1995-02-21 00:00:00
animeNumMembers	
animeScore	6.04
animeUsers	1343
animeRank	
animePopularity	7562
animeDescription	"In episode one, Ginrei's dress is stolen, only to be used to fool the enemy. The second episode deals with a giant robot made exactly in her image. Finally, the third episode concerns Tetsugyu and Ginrei investigating a lost research team in a ""wild west"" desert setting.

(Source: ANN)"
animeRelated	['Giant Robo the Animation: Chikyuu ga Seishi Suru Hi']
animeCharacters	['Ginrei', 'Tetsugyu', 'Genya', 'Kusama, Daisaku', 'Alberto', 'Murasame, Kenji', 'Taisou', 'Chuujou, Shizuo', 'Ko-Enshaku', 'Doujin, Issei']
animeVoices	['Shimamoto, Sumi', 'Iizuka, Shouzou', 'Ogawa, Shinji', 'Yamaguchi, Kappei', 'Akimoto, Yousuke', 'Mikimoto, Yuji', 'Wakamoto, Norio', 'Kayumi, Iemasa', 'Aono, Takeshi']
animeStaff	[['Imagawa, Yasuhiro', 'Director, Script'], ['Yokote, Michiko', 'Script'], ['Iida, Umanosuke', 'Storyboard'], ['Takami, Akio', 'Character Design']]
