animeTitle	Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] Suru
animeType	OVA
animeNumEpisode	1
releaseDate	2019-11-01 00:00:00
endDate	
animeNumMembers	
animeScore	7.29
animeUsers	24187
animeRank	
animePopularity	2416
animeDescription	"Bundled with the limited edition volume 14. 

The episode adapts chapters 48 and 49, which follow Yuiga and Asami going on a fake date, and Yuiga encountering his teacher Mafuyu Kirisu after she accidentally loses her swimsuit top.

(Source: MAL News)"
animeRelated	['Bokutachi wa Benkyou ga Dekinai']
animeCharacters	['Furuhashi, Fumino', 'Kirisu, Mafuyu', 'Takemoto, Uruka', 'Ogata, Rizu', 'Kominami, Asumi', 'Yuiga, Nariyuki', 'Sekijou, Sawako', 'Yuiga, Mizuki', 'Mikuni', 'Shopkeeper']
animeVoices	['Shiraishi, Haruka', 'Lynn', 'Suzushiro, Sayumi', 'Tomita, Miyu', 'Asahina, Madoka', 'Oosaka, Ryouta', 'Oonishi, Saori', 'Kouno, Marika', 'Tanezaki, Atsumi']
animeStaff	[['Tsutsui, Taishi', 'Original Creator']]
