animeTitle	Tasuuketsu: Judgement Assizes
animeType	OVA
animeNumEpisode	1
releaseDate	2021-01-29 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15046
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Yanagi, Haruto', 'Tsugawa, Kotetsu', 'Ouno, Raion', 'Jin, Omi', 'Iruga, Ren', 'Shihouten, Ouga', 'Yagihashi, Toujuurou', 'Sudou, Ryouhei', 'Satou, Kazuhiko', 'Narita, Saneatsu']
animeVoices	['Murase, Ayumu', 'Yashiro, Taku', 'Kaji, Yuki', 'Shirato, Yuki', 'Ishikawa, Kaito', 'Masuda, Toshiki', 'Harada, Tomotaka', 'Nomiya, Kazunori', 'Ura, Kazuki', 'Nakazawa, Masatomo']
animeStaff	[['Rabbit MACHINE', 'Director, Episode Director']]
