animeTitle	Shinkon Gattai Godannar!! 2nd Season
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.94
animeUsers	2917
animeRank	
animePopularity	6003
animeDescription	"The history is placed right after the -cliffhanger- end of Godannar when Anna looks surprised to see Mira driving the Neo Okusaer.

(Source: AniDB)"
animeRelated	['Shinkon Gattai Godannar!!']
animeCharacters	['Saruwatari, Goh', 'Aoi, Anna', 'Aoi, Kiriko', 'Fujimura, Shizuru', 'Roux, Lou', 'Ackerman, Mira', 'Ekaterina', 'Kouji, Tetsuya', 'Luna', 'Kagemaru']
animeVoices	['Weaver, Brett', 'Nakahara, Mai', 'Honda, Takako', 'Kakazu, Yumi', 'Shimizu, Kaori', 'Hisakawa, Aya', 'Yamada, Miho', 'Hiyama, Nobuyuki', 'Kawakami, Tomoko']
animeStaff	[['Nagaoka, Yasuchika', 'Director, Storyboard, Original Creator'], ['Aketagawa, Jin', 'Sound Director'], ['Motonaga, Keitarou', 'Episode Director'], ['Kitahata, Tooru', 'Episode Director']]
