animeTitle	Ketsuekigata-kun!
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.54
animeUsers	4531
animeRank	
animePopularity	5270
animeDescription	"Are all A Types kind yet indecisive? Does being a B Type imply the opposite? Are O Types more passionate and childish than others? How would one even get along with AB Types? Ketsuekigata-kun! explores Japanese and Korean cultural stereotypes associated with blood types in romantic and leisurely situations.

[Written by MAL Rewrite]"
animeRelated	['Ketsuekigata-kun! Featuring Yuri & Nasuno', 'Ketsuekigata-kun! 2']
animeCharacters	['O-gata-kun', 'AB-gata-kun', 'B-gata-kun', 'A-gata-kun', 'Chef', 'AB-gata Joshi', 'Clerk', 'Ookami', 'Narrator']
animeVoices	['Ishida, Akira', 'Kakihara, Tetsuya', 'Nakamura, Yuuichi', 'Fukuyama, Jun', 'Sakurai, Tooru', 'Hino, Mari', 'Narumi, Kyoko']
animeStaff	[['Ooyama, Yoshihisa', 'Director'], ['Yamashita, Kenichi', 'Script'], ['Kazama, Yuka', 'Sound Effects']]
