animeTitle	Lovedol: Lovely Idol
animeType	TV
animeNumEpisode	12
releaseDate	2006-10-03 00:00:00
endDate	2006-12-19 00:00:00
animeNumMembers	7760
animeScore	6.16
animeUsers	2492
animeRank	7873
animePopularity	5869
animeDescription	"Lovedol, or Lovely Idol, is a girl group consisting of two generations of idols. The 3rd Generation is about to make its debut, but to their surprise, they have been delayed! The vague reason is only that ""they lack something."" The manager, and the 3rd Gen. girls too, must find the answer. "
animeRelated	['Lovedol: Lovely Idol OVA']
animeCharacters	['Sakaki, Mizuki', 'Fujisawa, Ruri', 'Nekoya, Miu', 'Kiryuu, Kotoha', 'Houjou, Hina', 'Nonomiya, Mai', 'Fujita, Makoto', 'Oji, Shizuku', 'Naruse, Yukimi', 'Nagasawa, Rei']
animeVoices	['Nogawa, Sakura', 'Sakai, Kanako', 'Gotou, Yuuko', 'Nakahara, Mai', 'Chihara, Minori', 'Momoi, Haruko', 'Shintani, Ryouko', 'Kugimiya, Rie', 'Mochizuki, Hisayo', 'Kakazu, Yumi']
animeStaff	[['Motonaga, Keitarou', 'Director'], ['Ebina, Yasunori', 'Sound Director'], ['Sokuza, Makoto', 'Episode Director, Storyboard'], ['Asami, Matsuo', 'Episode Director']]
