animeTitle	Yuuki Yuuna wa Yuusha de Aru: Hidamari
animeType	Special
animeNumEpisode	1
releaseDate	2017-11-18 00:00:00
endDate	
animeNumMembers	
animeScore	7.02
animeUsers	3311
animeRank	
animePopularity	5778
animeDescription	A recap episode of the original series made to connect Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou to the sequel series Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou.
animeRelated	['Yuuki Yuuna wa Yuusha de Aru', 'Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou', 'Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou']
animeCharacters	['Yuuki, Yuuna', 'Tougou, Mimori', 'Nogi, Sonoko', 'Miyoshi, Karin', 'Inubouzaki, Fuu', 'Inubouzaki, Itsuki']
animeVoices	[]
animeStaff	[]
