animeTitle	b'Mamotte Shugogetten!'
animeType	b'TV'
animeNumEpisode	22
releaseDate	
endDate	
animeNumMembers	
animeScore	6.66
animeUsers	2232
animeRank	
animePopularity	
animeDescription	"b'Tasuke Shichiri is the envy of his friends because since his parents are always traveling he can do as he pleases. It\'s a surprise present from his father that keeps him from being lonely: an odd ring known as the shitenrin. From it comes a moon goddess named Shaorin, dedicated to protecting her ""master"" -- no matter how much of a mess she makes doing it!'"
animeRelated	[b'Mamotte Shugogetten!', b'Denshin Mamotte Shugogetten']
animeCharacters	[b'Shugogetten, Shaorin', b'Shichiri, Tasuke', b'Keikounitten, Ruuan', b'Rishu', b'Miyauchi, Izumo', b'Aihara, Kaori', b'Koka', b'Yamanobe, Shouko']
animeVoices	[b'\nKouda, Mariko\nJapanese\n', b'\nSakaguchi, Daisuke\nJapanese\n', b'\nTakada, Yumi\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nHara, Eriko\nJapanese\n', b'\nHikida, Yukari\nJapanese\n', b'\nMiyahara, Nami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKaizawa, Yukio\n\nDirector\n\n', b'\nYamada, Yasunori\n\nScript\n\n', b'\nSatou, Shouichi\n\nScript\n\n', b'\nsurface\n\nTheme Song Performance\n\n']
