animeTitle	b'Youkaiden Nekome Kozou'
animeType	b'TV'
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The story is told by the cat-eyed boy, hated by humans and demons, who engages in tales of terror, including monsters and children.'
animeRelated	[b'Nekome Kozou']
animeCharacters	[b'Cat Eyed Boy']
animeVoices	[b'\nHori, Junko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Chuumei\n\nTheme Song Composition, Theme Song Arrangement\n\n', b'\nColumbia Yurikago Kai\n\nTheme Song Performance\n\n', b'\nUmezu, Kazuo\n\nOriginal Creator\n\n']
