animeTitle	Historical
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.73
animeUsers	127
animeRank	
animePopularity	12622
animeDescription	A highschool girl encounters a rabbit like creature who sends her back in time. 
animeRelated	[]
animeCharacters	['Akane, Makoto', 'Kanotsuno, Shiki', 'Enza']
animeVoices	['Kitamura, Eri', 'Fujimoto, Ayaka', 'Sakurai, Takahiro']
animeStaff	[['Rabbit MACHINE', 'Director'], ['purikoko', 'Music']]
