animeTitle	Mori no Andou
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.98
animeUsers	1550
animeRank	
animePopularity	8838
animeDescription	"A penguin named Andou protects the forest and its animal inhabitants from the evil humans (or the ""cancer of the Earth"" as one sign in The Animal House reads). However, some of the animals suspect that Ando himself may be a human."
animeRelated	[]
animeCharacters	['Andou']
animeVoices	[]
animeStaff	[['Taniguchi, Takashi', 'Director']]
