animeTitle	b'Garden'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.49
animeUsers	4321
animeRank	
animePopularity	
animeDescription	"b""Garden is a place (maybe another world) created for the sole purpose of accepting every sexual actions between its participants, allowing them to fulfill their deepest sexual desires and find eternal happiness, which you'd be unable to discover on earth.\n"""
animeRelated	[b'Garden']
animeCharacters	[b'Minakami, Hitsuji', b'Ninjin', b'Sugawara, Koutaro', b'Fujieta, Azami', b'Tsubaki', b'Hiroga']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTatsumi\n\nDirector, Storyboard, Character Design\n\n', b'\nMidori no Rupe\n\nOriginal Creator\n\n']
