animeTitle	Chuunibyou demo Koi ga Shitai! Ren Lite
animeType	ONA
animeNumEpisode	6
releaseDate	2013-12-26 00:00:00
endDate	2014-03-16 00:00:00
animeNumMembers	
animeScore	7.18
animeUsers	37733
animeRank	
animePopularity	1934
animeDescription	Short episodes aired on KyoAni's official YouTube channel.
animeRelated	['Chuunibyou demo Koi ga Shitai! Lite', 'Chuunibyou demo Koi ga Shitai! Ren']
animeCharacters	['Takanashi, Rikka', 'Dekomori, Sanae', 'Togashi, Yuuta', 'Nibutani, Shinka', 'Tsuyuri, Kumin', 'Shichimiya, Satone', 'Isshiki, Makoto', 'Togashi, Kuzuha', 'Togashi, Yumeha', 'Togashi, Mother']
animeVoices	['Uchida, Maaya', 'Uesaka, Sumire', 'Fukuyama, Jun', 'Akasaki, Chinatsu', 'Asakura, Azumi', 'Nagatsuma, Juri', 'Hoshi, Souichirou', 'Fukuhara, Kaori', 'Shitara, Mami', 'Amano, Yuri']
animeStaff	[['Nishioka, Maiko', 'Script'], ['ZAQ', 'Theme Song Arrangement, Theme Song Performance, Theme Song Lyrics, Theme Song Composition'], ['Torako', 'Original Creator'], ['Ousaka, Nozomi', 'Original Character Design']]
