animeTitle	Xue Ying Ling Zhu
animeType	ONA
animeNumEpisode	26
releaseDate	2018-12-20 00:00:00
endDate	2019-06-06 00:00:00
animeNumMembers	
animeScore	7.32
animeUsers	786
animeRank	
animePopularity	8731
animeDescription	"In the Tranquil Sun province of the empire, there exists an unremarkable lordship known as Xue Ying Territory! This is the home of the Dong Bo clan, the clan of our hero Xue Ying!

His father, a commoner turned noble; his mother, a noble who abandoned her clan for love, and his brother, an innocent toddler. But peace cannot last forever, Xue Ying’s peaceful life is shattered, and the only way to reclaim it is through power!

(Source: Novel Updates)"
animeRelated	['Xue Ying Ling Zhu Zhi Qi Yu Pian']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
