animeTitle	b'Basquash!'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	15746
animeRank	
animePopularity	
animeDescription	"b""On the planet Earthdash, its inhabitants gaze on its moon and the technologically advanced lunar city of Mooneyes with awe. Dan JD, a boy living in Rollingtown on Earthdash's surface, gets caught up in Bigfoot Basketball\xe2\x80\x94a fast-paced sport played with giant Bigfoot robots.\n\n(Source: AniDB)"""
animeRelated	[b'Basquash!']
animeCharacters	[b'JD, Dan', b'Hotty, Iceman', b'Ayukawa, Miyuki', b'Rouge', b'D Miranda, Sela', b'Skybloom, Flora', b'Gracia, Haruka', b'Spanky', b'JD, Coco', b'Loane, James']
animeVoices	[b'\nShimono, Hiro\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nAsano, Masumi\nJapanese\n', b'\nTomatsu, Haruka\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nEndou, Aya\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nHamada, Kenji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nItagaki, Shin\n\nDirector, Storyboard\n\n', b'\nSatou, Hidekazu\n\nDirector, Storyboard\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nOota, Masahiko\n\nEpisode Director, Key Animation, Animation Director\n\n']
