animeTitle	b'Ensemble Stars!'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	6.88
animeUsers	6567
animeRank	
animePopularity	
animeDescription	"b'Yumenosaki Academy has been home to the best boy idols of different generations. Holding immense influence over the school, its student council maintains the status quo by enforcing old traditions with an iron fist. Transfer student Anzu winds up attending as the very first member in the production course, making her the sole female student in the entire school. There, she meets Subaru Akehoshi, Hokuto Hidaka, Mao Isara, and Makoto Yuuki\xe2\x80\x94her classmates and members of the idol unit ""Trickstar."" \n\nThe academy holds Dream Idol Festivals\xe2\x80\x94stage battles that put its students\' singing and dancing skills against each other, with the audience voting on the winner. Winning these ""DreFes"" guarantees the members of the idol unit various privileges and prestige. However, with the student council intervening and punishing everyone involved in an unsanctioned DreFes, the members of Trickstar find that they can no longer sit around and let it continue. Alongside Anzu as their producer, they plot to become the revolutionaries of the academy.\n\n[Written by MAL Rewrite]'"
animeRelated	"[b'Ensemble Stars!', b'Ensemble Stars!: Ready for Star', b'Ensemble Stars! Recap Special', b'Crazy Roulette', b'Kiss of Life', b'Rebellion Star', b'Festive!', b'Blooming World', b""Knockin' Fantasy"", b'BIGBANG REFLECTION!!', b'TRICK with TREAT!! (with UNDEAD)', b""Holy Angel's Carol"", b'Habataki no Fortissimo', b'Rainbow Stairway', b'SUPER NOVA REVOLU5TAR', b'Emerald Planet', b'Play ""Tag""', b'Unlimited\xe2\x98\x86Power!!!!!', b'Suisei HALATION', b'Ensemble Stars!! 5th Anniversary Animation PV', b'Endless Vide', b'Honeycomb Summer', b'I ""Witch"" You A Happy Halloween!', b'Stippling']"
animeCharacters	[b'Isara, Mao', b'Akehoshi, Subaru', b'Hidaka, Hokuto', b'Yuuki, Makoto', b'Anzu', b'Kagehira, Mika', b'Sakuma, Rei', b'Sakuma, Ritsu', b'Tsukinaga, Leo', b'Sena, Izumi']
animeVoices	[b'\nKaji, Yuki\nJapanese\n', b'\nKakihara, Tetsuya\nJapanese\n', b'\nMaeno, Tomoaki\nJapanese\n', b'\nMorikubo, Shoutarou\nJapanese\n', b'\nSakamoto, Maaya\nJapanese\n', b'\nOosuka, Jun\nJapanese\n', b'\nMasuda, Toshiki\nJapanese\n', b'\nYamashita, Daiki\nJapanese\n', b'\nAsanuma, Shintaro\nJapanese\n', b'\nItou, Masami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSoejima, Yasufumi\n\nDirector\n\n', b'\nHamano, Takatoshi\n\nSound Director, Sound Effects\n\n', b'\nInotsume, Shinichi\n\nScript\n\n', b'\nKatou, Tatsuya\n\nMusic\n\n']
