animeTitle	Tokkou
animeType	TV
animeNumEpisode	13
releaseDate	2006-04-16 00:00:00
endDate	2006-07-30 00:00:00
animeNumMembers	41809
animeScore	6.56
animeUsers	19585
animeRank	5834
animePopularity	2730
animeDescription	"""Shindou Ranmaru has just graduated from police academy and assigned to Tokko: Special Mobile Investigation Force. On the day of his graduation, he meets the half-naked girl he has been seeing in his dreams. Her name is Rokujo Sakura and she works for a secret group within Tokki, known as Tokko: Special Public Safety Task Force. Shindou ends up joining Tokko to avenge his parents' death, and solve the mysterious mass murder of residents in his hometown of Machida. Meanwhile, bottomless pits begin appearing around Japan, and mysterious creatures emerge from them. Could these events be linked to Machida Massacre?""

(Source: DVD Complete Series Back Cover)"
animeRelated	['Tokkou']
animeCharacters	['Suzuka, Kureha', 'Shindo, Ranmaru', 'Rokujo, Sakura', 'Kunikida, Kaoru', 'Shindo, Saya', 'Taishi', 'Araragi, Itto', 'Shiraishi, Dr.', 'Suzuka, Akito', 'Ajiro']
animeVoices	['Ueda, Kana', 'Suzumura, Kenichi', 'Orikasa, Fumiko', 'Takagi, Wataru', 'Kanda, Akemi', 'Mizuno, Ryuji', 'Matsubayashi, Daiki', 'Terasoma, Masaki', 'Kouno, Yutaka', 'Masuda, Yuuki']
animeStaff	[['Takakuwa, Hajime', 'Sound Director'], ['Abe, Masashi', 'Episode Director, Storyboard, 2nd Key Animation'], ['Ishihira, Shinji', 'Storyboard'], ['Hayashi, Hiroki', 'Storyboard, Key Animation']]
