animeTitle	Yotsunoha
animeType	OVA
animeNumEpisode	2
releaseDate	2008-02-29 00:00:00
endDate	2008-03-28 00:00:00
animeNumMembers	10922
animeScore	6.34
animeUsers	5141
animeRank	7004
animePopularity	5122
animeDescription	"Based on the game by Haikuo-Soft.

A story about the reunion of 4 childhood friends, Yuzuki, Matsuri, Nono and Makoto, in their deserted old school campus, Mochitsuki Academy. 3 years ago, they buried a time capsule under a tree inside the school and made a promise. A promise to meet again after exactly 3 years from that day. And the day of promise has finally arrived.

(Source: AniDB)"
animeRelated	['Yotsunoha']
animeCharacters	['Nekomiya, Nono', 'Yuuki, Makoto', 'Iori, Yuzuki', 'Amachi, Matsuri', 'Ru', 'Yuki, Arisa', 'Shiba, Daisuke']
animeVoices	['Sakakibara, Yui', 'Tasaka, Hideki', 'Gotou, Yuuko', 'Gotou, Mai', 'Iguchi, Yuka', 'Yahagi, Sayuri', 'Miyashita, Eiji']
animeStaff	[['Nishikiori, Hiroshi', 'Director, Screenplay'], ['Tsuruoka, Youta', 'Sound Director'], ['Sakakibara, Yui', 'Theme Song Performance'], ['Chata', 'Theme Song Performance']]
