animeTitle	b'Shimajirou to Ookinaki'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Shimajirou no Wow!']
animeCharacters	[b'Shimano, Shimajirou', b'Sorano, Torippii']
animeVoices	[b'\nMinami, Omi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHirabayashi, Isamu\n\nDirector\n\n', b'\nYamada, Takashi\n\nScreenplay\n\n', b'\nSuzuki, Miho\n\nCharacter Design\n\n', b'\nKawamata, Hiroshi\n\nAnimation Director\n\n']
